Timestamp,Nombre del Laboratorio,Ciudad,Dirección,Teléfono,Correo electrónico,Descripción breve del laboratorio,Horario de Atencíon,¿ Realiza pruebas analíticas sobre algunas de estas drogas de abuso ?,¿ Realiza análisis de esta sustancia ? (Morfina),Tipo de muestra (Morfina),Tipo de análisis (Morfina),Metodo Analitico (Morfina),¿ Realiza análisis de esta sustancia ? (Canabinoides),Tipo de muestra (Canabinoides),Tipo de análisis (Canabinoides),Método Analítico (Canabinoides),¿ Realiza análisis de esta sustancia ? (Metanfetaminas),Tipo de muestra (Metanfetaminas),Tipo de análisis (Metanfetaminas),Método Analítico (Metanfetaminas),¿ Realiza análisis de esta sustancia ? (Metilfenidato),Tipo de muestra (Metilfenidato),Tipo de análisis (Metilfenidato),Método Analítico (Metilfenidato),¿ Realiza análisis de esta sustancia ? (Cocaína),Tipo de análisis (Cocaína),Tipo de muestra (Cocaína),Método Analítico (Cocaína),¿ Realiza análisis de esta sustancia ? (Metadona),Tipo de muestra (Metadona),Tipo de análisis (Metadona),Método Analítico (Metadona),¿ Realiza análisis de esta sustancia ? (Benzodiazepinas),Tipo de muestra (Benzodiazepinas),Tipo de análisis (Benzodiazepinas),Método Analítico (Benzodiazepinas),¿ Realiza análisis de esta sustancia ? (Oxycodona),Tipo de muestra (Oxycodona),Tipo de análisis (Oxycodona),Método Analítico (Oxycodona),¿ Realiza análisis de esta sustancia ? (Metacualona),Tipo de muestra (Metacualona),Tipo de análisis (Metacualona),Método Analítico (Metacualona),¿ Realiza análisis de esta sustancia ? (Acido Lisergico LSD),Tipo de muestra (Acido Lisergico LSD),Tipo de análisis (Acido Lisergico LSD),Método Analítico (Acido Lisergico LSD),¿ Realiza análisis de esta sustancia ? (Anfetaminas),Tipo de muestra (Anfetaminas),Tipo de análisis (Anfetaminas),Método Analítico (Anfetaminas),¿ Realiza análisis de esta sustancia ? (Heroína),Tipo de muestra (Heroína),Tipo de análisis (Heroína),Método Analítico (Heroína),¿ Realiza análisis de alguna otra droga de abuso ?,Tipo de sustancia,Tipo de análisis,Metodo Analitico
11/19/2013 18:50:51,LABORATORIO CLIINICO DRA. CLAUDIA PATRICIA ROJAS,Bogotá,Cll 18 A N° C98-90 PISO 2,2671184,patriciarojaslab@yahoo.com,"Laboratorio clínico de primer nivel de atención, procesamiento de muestras de  Parcial de orina, Coprológía,Hematología básica, Química clínica básica e Inmunología básica, Pruebas de screninig de drogas de abuso y remisión al laboratorio de referencias de pruebas Hormonales y Especializadas.",,Si,No,,,,Si,Orina,Cualitativo,HPLC (Cromatografia de liquidos),Si,Orina,Cualitativo,HPLC (Cromatografia de liquidos),No,,,,Si,Cualitativo,Orina,HPLC (Cromatografia de liquidos),No,,,,Si,Orina,Cualitativo,HPLC (Cromatografia de liquidos),No,,,,No,Orina,Cualitativo,HPLC (Cromatografia de liquidos),No,,,,,,,,No,,,,No,,,
11/19/2013 21:34:55,Toxicol sas,Bogotá,cra 17 # 61a - 50 2 piso,2179552  /  2491875,toxicoljym@yahoo.com,"Análisis de drogas de abuso, metales aguas, alimentos, escopolamina ,intentos de suicidio, entre otros",,Si,Si,"Sangre, Orina, Jugo Gástrico ","Cualitativo, Cuantitativo","IA(Inmuno Ensayo), HPLC (Cromatografia de liquidos)",Si,"Sangre, Orina, Jugo Gástrico ","Cualitativo, Cuantitativo","IA(Inmuno Ensayo), HPLC (Cromatografia de liquidos)",Si,"Sangre, Orina, Jugo Gástrico ","Cualitativo, Cuantitativo","IA(Inmuno Ensayo), HPLC (Cromatografia de liquidos)",Si,"Sangre, Orina, Jugo Gástrico ","Cualitativo, Cuantitativo","IA(Inmuno Ensayo), HPLC (Cromatografia de liquidos)",Si,"Cualitativo, Cuantitativo","Sangre, Orina, Jugo Gástrico ","IA(Inmuno Ensayo), HPLC (Cromatografia de liquidos)",Si,"Sangre, Orina, Jugo Gástrico ","Cualitativo, Cuantitativo","IA(Inmuno Ensayo), HPLC (Cromatografia de liquidos)",Si,"Sangre, Orina, Jugo Gástrico ","Cualitativo, Cuantitativo","IA(Inmuno Ensayo), HPLC (Cromatografia de liquidos)",Si,"Sangre, Orina, Jugo Gástrico ","Cualitativo, Cuantitativo","IA(Inmuno Ensayo), HPLC (Cromatografia de liquidos)",Si,"Sangre, Orina, Jugo Gástrico ","Cualitativo, Cuantitativo","IA(Inmuno Ensayo), HPLC (Cromatografia de liquidos)",Si,Orina,Cualitativo,"IA(Inmuno Ensayo), HPLC (Cromatografia de liquidos)",,,,,Si,"Sangre, Orina, Jugo Gástrico ","Cualitativo, Cuantitativo","IA(Inmuno Ensayo), HPLC (Cromatografia de liquidos)",Si,hidrocarburos,"Cualitativa, Cuantitativa","IA(Inmuno Ensayo), HPLC (Cromatografia de liquidos)"
11/20/2013 8:23:21,LABORATORIO FAMI,Florencia,Kra 7 No 16-20,4351349,eimbedna@gmail.com,Laboratorio clínico de mediana complejidad,,Si,Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,Si,Cualitativo,Orina,IA(Inmuno Ensayo),No,,,,Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,No,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,,,,,No,,,,No,,,
11/20/2013 10:25:50,Laboratorio clinico biodignostico del  caribe,Cartagena,barrio recreo k1 71 C- 7,3015574820,labclinicodelcaribe@gmail.com,Laboratorio de II nivel de atención donde se realizan pruebas de toxicología a personas que ingresan a laborar,,Si,No,,,,Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,No,,,,Si,Cualitativo,Orina,IA(Inmuno Ensayo),No,,,,No,,,,No,,,,No,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,,,,,No,,,,No,,,
11/20/2013 21:21:30,DORA ESTUPIÑAN,Bogotá,calle 36 sur # 77- 24,2647436,doriis13@hotmail.com,Laboratorio clínico independiente de baja complejidad,,Si,No,,,,Si,Orina,Cualitativo,HPLC (Cromatografia de liquidos),No,,,,No,,,,Si,Cualitativo,Orina,HPLC (Cromatografia de liquidos),No,,,,No,,,,No,,,,No,Orina,Cualitativo,HPLC (Cromatografia de liquidos),No,,,,,,,,No,,,,No,,,
11/20/2013 23:52:25,ClinicaMichelBeltranLtda,Bogotá,Calle8 B#77-32,(1)4243267,clinicamichelbeltran@hotmail.com,Laboratorio Clínico de I nivel con contrato para examenes especializados con Lab. Colcan. ,Horario de 07:30 a 13:00hs de Lunes a Sábado.,Si,Si,"Sangre, Orina","Cualitativo, Cuantitativo",IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,Si,"Cualitativo, Cuantitativo",Orina,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Sangre,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),,,,,Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,
11/21/2013 11:06:24,LABORATORIO CLINICO NAIZIR LTDA,Ibague,CALLE 33 No. 4A-44,(8)2643079,mayonaizir@hotmail.com,Laboratorio de mediana complejidad habilitado por secretaria de salud del tolima y certificado por Icontec bajo la norma ISO 9001,7 am -  5 pm,Si,Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,Si,Cualitativo,Orina,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,No,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,,,,,Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,
11/21/2013 11:11:57,LABORATORIO CLINICO IVAN BECERRA,Pasto,kr 35 a # 20 - 10 Centro Medico la Riviera,092 7315704,laboivanbc@hotmail.com,Laboratorio Clínico de baja complejidad que realiza detección de drogas de abuso con multidroga de Xerion panel por 10 INMUNOENSAYO CROMATOGRAFICO  en orina.,7:00am a 12 m - 2:00pm- 6:00 pm,Si,No,,,,Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,Si,Cualitativo,Orina,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,No,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,,,,,No,,,,No,,,
11/21/2013 11:24:26,DETEKTA LABORATORIO CLINICO INTEGRADO S.A.S.,Pereira,CARRERA 9 No 22-34,3356274-3357800,lab.detekta@gmail.com,,LUNES A VIERNES 7 am a 6 pm y SABADOS 8 am a 12 m,Si,Si,Orina,Cualitativo,HPLC (Cromatografia de liquidos),Si,Orina,Cualitativo,HPLC (Cromatografia de liquidos),Si,Orina,Cualitativo,HPLC (Cromatografia de liquidos),No,,,,Si,Cualitativo,Orina,HPLC (Cromatografia de liquidos),Si,Orina,Cualitativo,HPLC (Cromatografia de liquidos),Si,Orina,Cualitativo,HPLC (Cromatografia de liquidos),No,,,,No,Orina,Cualitativo,HPLC (Cromatografia de liquidos),No,,,,,,,,Si,Orina,Cualitativo,HPLC (Cromatografia de liquidos),Si,"opiaceos, antidepresivos triciclicos",Cualitativa,HPLC (Cromatografia de liquidos)
11/21/2013 11:39:05,PROMOSALUD,Santa Marta,CRA 11 No 18-90 BARRIO TERRITORIAL,4233421,cientifico@promosalud.hotmail.,Laboratorio clínico de primer nivel donde se realizan examenes de salud ocupacional a trabajadores ,7A.M.-12.AM,Si,No,,,,No,,,,No,,,,No,,,,Si,Cualitativo,Orina,IA(Inmuno Ensayo),No,,,,No,,,,No,,,,No,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,,,,,No,,,,Si,MARIHUANA,Cualitativa,IA(Inmuno Ensayo)
11/21/2013 11:47:28,PROMOSALUD,Santa Marta,CRA 11 No 18-90 BARRIO TERRITORIAL,4233421,cientifico@promosalud.hotmail.,Laboratorio clínico de primer nivel donde se realizan examenes de salud ocupacional a trabajadores,7A.M.-10.AM,Si,No,,,,No,,,,No,,,,No,,,,Si,Cualitativo,Orina,IA(Inmuno Ensayo),No,,,,No,,,,No,,,,No,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,,,,,No,,,,Si,MARIHUANA,Cualitativa,IA(Inmuno Ensayo)
11/21/2013 12:02:23,PROMOSALUD,Santa Marta,CRA 11 No 18-90 CENTRO MEDICO PABLO GARCIA INFANTE BARRIO TERRITORIAL,4233421,promosalud@promosalud.org,Laboratorio clínico de primer nivel donde se realizan examenes de salud ocupacional a trabajadores,7A.M.-12.AM-2P.M-6P.M,Si,No,,,,No,,,,No,,,,No,,,,Si,Cualitativo,Orina,IA(Inmuno Ensayo),No,,,,No,,,,No,,,,No,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,,,,,No,,,,Si,MARIHUANA,Cualitativa,IA(Inmuno Ensayo)
11/22/2013 7:55:27,LABORATORIO CLINICO ANDINO,Armenia,CALLE 19 Nº 15-51,74460664,labcliandino@hotmail.com,Laboratorio complejidad 1,7 - 12 y 2 - 6,Si,Si,Orina,Cualitativo,HPLC (Cromatografia de liquidos),Si,Orina,Cualitativo,HPLC (Cromatografia de liquidos),Si,Orina,Cualitativo,HPLC (Cromatografia de liquidos),No,,,,Si,Cualitativo,Orina,HPLC (Cromatografia de liquidos),Si,Orina,Cualitativo,HPLC (Cromatografia de liquidos),Si,Orina,Cualitativo,HPLC (Cromatografia de liquidos),No,,,,No,Orina,Cualitativo,HPLC (Cromatografia de liquidos),No,,,,,,,,Si,Orina,Cualitativo,HPLC (Cromatografia de liquidos),Si,ANFETAMINAS,Cualitativa,HPLC (Cromatografia de liquidos)
11/22/2013 8:09:31,SCIRE CLINICAL DIAGNOSIS,Cúcuta,AV 0 A # 21-27,5721000,pino1174@hotmail.com,,7:00 am a 5:00 pm,Si,Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,Si,Cualitativo,Orina,IA(Inmuno Ensayo),No,,,,Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,No,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,,,,,Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,
11/22/2013 11:00:32,Laboratorio Clínico Andreas Rothstein,Bogotá,Cra 16A No. 80-94,6102209,andreas@lcarlab.com,Laboratorio de tercer nivel de complejidad,7:00-18:00,Si,Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,Si,Cualitativo,Orina,IA(Inmuno Ensayo),No,,,,Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,No,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,,,,,No,,,,Si,Extasis,Cualitativa,IA(Inmuno Ensayo)
11/22/2013 16:31:03,Hospital infantil,Manizales,cra 23 nº 49-30,8812272,cpinilla@hiu.org.co,Laboratorio de segundo nivel,24 horas,Si,No,,,,Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,Si,Cualitativo,Orina,IA(Inmuno Ensayo),No,,,,Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,No,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,,,,,No,,,,No,,,
11/24/2013 21:44:37,LABORATORIO CLINICO LABTRON,Bogotá,CALLE 4 B 41 25,2772670,ldeaza@gmail.com,Somos un laboratorio con màs de 25 años de experiencia. Realizamos toda clase de exàmenes de laboratorio clinico,7:00 A.M. - 5:00 P.M.,Si,No,,,,Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,Si,Cualitativo,Orina,IA(Inmuno Ensayo),No,,,,Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,No,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,,,,,Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,
11/25/2013 12:27:09,LABORATORIO CLINICO PATOLOGICO LOPEZ CORREA S.A.,Pereira,CALLE 24 N°  5-41,3254216,carolina.rodriguez@lopezcorrea.com; laboratorio@lopezcorrea.com,"Somos una organización que ofrece servicios especializados en Laboratorio Clínico, Patología y Citología, con tecnología de última generación y altos estándares de calidad  que aseguran la confiabilidad en los resultados. 
",Lunes a viernes 6:45 a 5:00 pm.   Sabado de 8:00 a 11:00 am,Si,Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Cualitativo,Orina,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,,,,,No,,,,Si,AMP - BAR - BUP - COC - THC - EDDP 100 -  OPI 2000 - PCP -  PRA,Cualitativa,IA(Inmuno Ensayo)
11/25/2013 17:58:13,Vilma Orozco Ayala,Cúcuta,Av. 0A 12-05 (101),312 432 27 19,vilmaoro@yahoo.es,Pruebas rápidas en casette de inmunocromatografia.,7 am - 5 pm,Si,Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,Si,Cualitativo,Orina,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,No,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,,,,,Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,
12/3/2013 9:45:11,Caja Colombiana de subsidio Colsubsidio,Bogotá,Calle 67# 10 67,2171859,alberto.leon@colsubsidio.com,Laboratorio de clínica de tercer nivel de complejidad habilitado y funcional. Algunos exámenes los remite a laboratorios externos especializados,24hrs,Si,No,,,,Si,Orina,Cuantitativo,IA(Inmuno Ensayo),Si,Orina,Cuantitativo,IA(Inmuno Ensayo),No,,,,Si,Cuantitativo,Orina,IA(Inmuno Ensayo),No,,,,Si,Orina,Cualitativo,HPLC (Cromatografia de liquidos),No,,,,No,,,,No,,,,,,,,No,,,,No,,,
12/3/2013 10:03:09,GLORIA INES PINEDA,Bogotá,CALLE 24c Nº 80B-14,2639571,labclinicogloriainespineda@hotmail.com,Laboratorio clínico de baja complejidaddonde se realizan examenes de rutina,7:00am - 1:00pm,Si,No,,,,No,,,,No,,,,No,,,,Si,Cualitativo,Orina,IA(Inmuno Ensayo),No,,,,No,,,,No,,,,No,,,,No,,,,,,,,No,,,,No,,,
12/3/2013 10:50:38,SORAIDA GONZALEZ,Tunja,CALLE 17 No.9-56,3132339732,soraida-gonzalez@hotmail.com,Laboratorio  clinico particular de baja complejidad,8-12 m 2-6.0 p.m.,Si,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,No,,,,,,,,No,,,,No,,,
12/3/2013 12:04:07,SUS MEDICOS S.A.,Medellín,KRA 66 B N. 33-17,448 63 63,labreportes@gmail.com,Laboratorio de primer nivel.,6:30 A.M. - 6:30 P.M.,Si,No,,,,Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,No,,,,Si,Cualitativo,Orina,IA(Inmuno Ensayo),No,,,,Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,No,,,,No,,,,,,,,No,,,,Si,OPIO Y ANFETAMINAS,Cualitativa,IA(Inmuno Ensayo)
12/3/2013 12:05:20,Bioclinico Pasteur,Bogotá,Calle34#13A-96 piso 2,2887176,bioclinicopasteur@gmail.com,Laboratorio que realiza exámenes para personas  que viajan al exterior y exámenes de rutina.,7:30AM-12:30M,Si,Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,Si,Cualitativo,Orina,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,,,,,Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,THC,Cualitativa,IA(Inmuno Ensayo)
12/3/2013 15:53:03,LABORATORIO CLINICO BIOANDES E.U,Bogotá,CC.CENTRO SUBA AV.CALLE 145 Nº91-19 PISO 3 CONS.2,6859234,soniajater@hotmail.com  laboratoriobioandes@hotmail.es,Laboratorio clínico de mediana complejidad habilitado y certificado por la secretaria de salud de Bogotá.  Procesamos exámenes de rutina y especializados,7.00 am-7.00pm,Si,Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,Si,Cualitativo,Orina,IA(Inmuno Ensayo),No,,,,Si,Orina,Cualitativo,IA(Inmuno Ensayo),No,,,,No,,,,No,,,,,,,,No,,,,Si,MDMA(EXTASIS),Cualitativa,IA(Inmuno Ensayo)
