nombre,ciudad,direccion,telefono,email,descripcion,horario,morfina,canabinoides,metanfetaminas,metilfenidato,cocaina,metadona,benzodiazepinas,oxycodona,metacualona,lsd,heroina,otros
DETEKTA LABORATORIO CLINICO INTEGRADO S.A.S.,Pereira,CARRERA 9 No 22-34,"3356274,33578",lab.detekta@gmail.com,,LUNES A VIERNES 7 am a 6 pm y SABADOS 8 am a 12 m,Si,Si,Si,No,Si,Si,Si,No,No,No,Si,"opiaceos, antidepresivos triciclicos"
PROMOSALUD,Santa Marta,CRA 11 No 18-90 BARRIO TERRITORIAL,4233421,cientifico@promosalud.hotmail.,Laboratorio clínico de primer nivel donde se realizan examenes de salud ocupacional a trabajadores ,7A.M.-12.AM,No,No,No,No,Si,No,No,No,No,No,No,MARIHUANA
PROMOSALUD,Santa Marta,CRA 11 No 18-90 BARRIO TERRITORIAL,4233421,cientifico@promosalud.hotmail.,Laboratorio clínico de primer nivel donde se realizan examenes de salud ocupacional a trabajadores,7A.M.-10.AM,No,No,No,No,Si,No,No,No,No,No,No,MARIHUANA
PROMOSALUD,Santa Marta,CRA 11 No 18-90 CENTRO MEDICO PABLO GARCIA INFANTE BARRIO TERRITORIAL,4233421,promosalud@promosalud.org,Laboratorio clínico de primer nivel donde se realizan examenes de salud ocupacional a trabajadores,7A.M.-12.AM-2P.M-6P.M,No,No,No,No,Si,No,No,No,No,No,No,MARIHUANA
LABORATORIO CLINICO ANDINO,Armenia,CALLE 19 Nº 15-51,74460664,labcliandino@hotmail.com,Laboratorio complejidad 1,7 - 12 y 2 - 6,Si,Si,Si,No,Si,Si,Si,No,No,No,Si,ANFETAMINAS
SCIRE CLINICAL DIAGNOSIS,Cúcuta,AV 0 A # 21-27,5721000,pino1174@hotmail.com,,7:00 am a 5:00 pm,Si,Si,Si,No,Si,No,Si,No,No,No,Si,
Laboratorio Clínico Andreas Rothstein,Bogotá,Cra 16A No. 80-94,6102209,andreas@lcarlab.com,Laboratorio de tercer nivel de complejidad,7:00-18:00,Si,Si,Si,No,Si,No,Si,No,No,No,No,Extasis
Hospital infantil,Manizales,cra 23 nº 49-30,8812272,cpinilla@hiu.org.co,Laboratorio de segundo nivel,24 horas,No,Si,Si,No,Si,No,Si,No,No,No,No,
LABORATORIO CLINICO LABTRON,Bogotá,CALLE 4 B 41 25,2772670,ldeaza@gmail.com,Somos un laboratorio con màs de 25 años de experiencia. Realizamos toda clase de exàmenes de laboratorio clinico,7:00 A.M. - 5:00 P.M.,No,Si,Si,No,Si,No,Si,No,No,No,Si,
LABORATORIO CLINICO PATOLOGICO LOPEZ CORREA S.A.,Pereira,CALLE 24 N°  5-41,3254216,carolina.rodriguez@lopezcorrea.com; laboratorio@lopezcorrea.com,"Somos una organización que ofrece servicios especializados en Laboratorio Clínico, Patología y Citología, con tecnología de última generación y altos estándares de calidad  que aseguran la confiabilidad en los resultados. 
",Lunes a viernes 6:45 a 5:00 pm.   Sabado de 8:00 a 11:00 am,Si,Si,Si,Si,Si,Si,Si,Si,Si,No,No,
Vilma Orozco Ayala,Cúcuta,Av. 0A 12-05 (101),312 432 27 19,vilmaoro@yahoo.es,Pruebas rápidas en casette de inmunocromatografia.,7 am - 5 pm,Si,Si,Si,No,Si,Si,Si,No,No,No,Si,
Caja Colombiana de subsidio Colsubsidio,Bogotá,Calle 67# 10 67,2171859,alberto.leon@colsubsidio.com,Laboratorio de clínica de tercer nivel de complejidad habilitado y funcional. Algunos exámenes los remite a laboratorios externos especializados,24hrs,No,Si,Si,No,Si,No,Si,No,No,No,No,
GLORIA INES PINEDA,Bogotá,CALLE 24c Nº 80B-14,2639571,labclinicogloriainespineda@hotmail.com,Laboratorio clínico de baja complejidaddonde se realizan examenes de rutina,7:00am - 1:00pm,No,No,No,No,Si,No,No,No,No,No,No,
SORAIDA GONZALEZ,Tunja,CALLE 17 No.9-56,3132339732,soraida-gonzalez@hotmail.com,Laboratorio  clinico particular de baja complejidad,8-12 m 2-6.0 p.m.,No,No,No,No,No,No,No,No,No,No,No,
SUS MEDICOS S.A.,Medellín,KRA 66 B N. 33-17,448 63 63,labreportes@gmail.com,Laboratorio de primer nivel.,6:30 A.M. - 6:30 P.M.,No,Si,No,No,Si,No,Si,No,No,No,No,"Opio, Anfetaminas"
Bioclinico Pasteur,Bogotá,Calle34#13A-96 piso 2,2887176,bioclinicopasteur@gmail.com,Laboratorio que realiza exámenes para personas  que viajan al exterior y exámenes de rutina.,7:30AM-12:30M,Si,Si,Si,No,Si,Si,Si,No,Si,No,Si,THC
LABORATORIO CLINICO BIOANDES E.U,Bogotá,CC.CENTRO SUBA AV.CALLE 145 Nº91-19 PISO 3 CONS.2,6859234,soniajater@hotmail.com  laboratoriobioandes@hotmail.es,Laboratorio clínico de mediana complejidad habilitado y certificado por la secretaria de salud de Bogotá.  Procesamos exámenes de rutina y especializados,7.00 am-7.00pm,Si,Si,Si,No,Si,No,Si,No,No,No,No,"MDMA, Extasis"
LABORATORIO CLINICO MARIA EUGENIA TAMAYO GIRALDO,Segovia,CL CARATAL  52 -05,8316301,analisisclinico01@yahoo.com,Laboratorio que presta servicios de primer  y segundo nivel de complejidad  y que es apoyado por laboratorios referencia para pruebas especializadas. Realizamos pruebas cualitativas de drogas de abuso,7am -12m  y 2pm - 5pm,No,Si,No,No,Si,No,No,No,No,No,No,
Hatolab Laboratorio Clinico,Bello,Calle 49 Nº 49-19,5993404,hatolab@une.net.co,,Lunes a Viernes 7 Am a 4 Pm,No,Si,No,No,Si,No,No,No,No,No,No,
BIOTECNOLOGIA Y GENETICA S.A -BIOTECGEN S.A,Bogotá,CALLE 119 No.49-26,2145409,biotecgen@biotecgen.com.co,Organización privada dedicada a la prestación de servicios de laboratorio clínico y pruebas de biología molecular tanto en humanos como en animales.  ,LUNES A VIERNES 8:00 A.M -5:00 P.M,No,No,No,No,No,Si,No,Si,No,No,No,
LABORATORIO CLINICA CHIA,Chia,CALLE 6 N. 10-125,8634126,laboratorioclinicachia@gmail.com,Laboratorio clinico de tercer nivel de complejidad intra-institucional que realiza pruebas toxicologicas de cocaina canbionides y benzodiacepinas.,24 horas,No,Si,No,No,Si,No,Si,No,No,No,No,
Karime Diaz,Bogotá,calle 26 sur #87-06,3005754302,labdiagnostik@gmail.com,"Laboratorio de nivel 1 de complejidad, realiza eventualmente pruebas rapidas de abuso de drogas",7 am-3 pm,No,Si,Si,No,Si,Si,Si,No,No,No,Si,
LABORATORIO COLCAN,Bogotá,CALLE 49 Nº 13-60,7447555 EXT 2221,comercial3@laboratoriocolcan.com,"Laboratorio Clínico que realiza pruebas para el diagnóstico de enfermedades infecciosas, enfermedades de alto costo, pruebas hormonales, marcadores tumorales, cargas virales, monitoreo de drogas, toxicología.  Pertenecemos a la red de toxicología de la SDS.",7:00 a.m. a 6:00 p.m. de lunes a viernes en jornada continua y sábados de 7:30 a.m. a 1:00 p.m.,Si,Si,Si,No,Si,Si,Si,Si,No,No,Si,"Fenciclidina, Barbituricos, Fenotiacinas, antidrepresivs triciclicos, Anfetaminas, Extasis, Metadona,"
ASSBASALUD ESE,Manizales,CALLE 27 # 17-32,"8802514,8800143",laboratorio@assbasalud.gov.co,"Laboratorio totalmente automatizado con equipos de ultima tecnología que realiza pruebas enmarcadas dentro de los niveles I, II, y III de complejidad.",al paciente de consulta externa de 7 a:m a 5 p:m y urgencias las 24 horas del dia.,Si,Si,Si,No,Si,Si,Si,Si,No,No,Si,extasis
CENTRO MEDICO OCUPACIONAL DEL VALLE,Cali,CALLE 35 Norte Avenida 3-36,6684375-3217749857,ips.gerencia@gmail.com,Toma de Muestras cualitativas,7:30-8:30,No,Si,Si,Si,Si,Si,Si,Si,Si,No,Si,marihuana
Dr. Mauricio Salas Linares,Cúcuta,Calle 20 No. OB-13 BARRIO BLANCO,5712179,mauricio_salaslinares@yahoo.es,"Laboratorio clinico de primer nivel, que presta servicios a una ips  en salud ocupacional, para el ingreso o desvinculacion labotral",7:00 a 11:00 y 2:00 a 5:00,No,Si,No,No,Si,No,No,No,No,No,No,
LABORATORIO CLINICO ESPECIALIZADO LTDA,Pasto,Carrera 28 No. 17-39,7222487,lespecializadoltda@hotmail.com,Laboratorio Clinico certificado con ICONTEC baja la norma ISO 9001  de 2008. ,7-12am  2-6 pm,Si,Si,Si,No,Si,Si,Si,Si,No,No,Si,"barbituricos ,opiaceos"
LABORATORIO CLÍNICO ADIEL VASQUEZ QUIJANO - MARTHA BEATRIZ CASTILLO GARCÍA,Cúcuta,Av. 4 N|14-89 La Playa,5711462,adiel.vazquez@gmail.com,"Laboratorio Clínico particular donde se realizan exámenes de rutina y especializados y se cuenta con el servicio de laboratorios de referencia.
",6:30-13:00  15:00-17:00,Si,Si,Si,No,Si,Si,Si,No,No,No,Si,"ANFETAMINAS, BARBITURICOS (SECOBARBITAL), BENZODIAZEPINAS, METADONA"
PROMOSALUD,Santa Marta,CRA 11 No 18-90 CENTRO MEDICO PABLO GARCIA INFANTE BARRIO TERRITORIAL,4233421,promosalud@promosalud.org,Laboratorio clinico de primer nivel,7a.m-12a.m-2p.m-6p.m,No,No,No,No,Si,No,No,No,No,No,No,MARIHUANA
IPS Laboratorio clinico especializado maria gisella ramirez,Neiva,calle 18 N0 6-39,8752300,labmgrm@hotmail.com,,7:00 am a 12 : 00Am y de 2 :00 pm a 6 : 00pm,No,Si,Si,No,No,No,Si,No,No,No,No,
LABORATORIO HORMONAL DE NARIÑO SAS,Pasto,CARRERA 36 # 19-94,(2)7310204,hormolab.narino@gmail.com,"Entidad prestatoda de servicios de salud de primer, segundo y tercer nivel de complejidad  especializada en la realizacion de pruebas metabolicas y hormonales. Somos un laboratorio Clinico certificado ante INVIMA, para participar en la realizacion de estudios clinicos, junto con Fundacion centro de Obesidad y Metabolismo COMETA a cargo del Medico Endocrinologo Edgar Arcos Palma.",lunes a Sabado de 7 am a 12m y 2pm a 6 pm,No,Si,Si,No,Si,No,Si,No,No,No,No,BENSODIAZEPINAS
CENTROS ESPECIALIZADOS DE SAN VICENTE FUNDACION,Rionegro,KM 2.3 VIA AEROPUERTO LLANOGRANDE VEREDA LA CONVENCION,448717,mifb@sanvicentefundacion.com,Somos un laboratorio clinico de tercer nivel y contamos con el laboratorio clinico de Hospital Universitario de San vicente fundacion como nuestro laboratorio de referencia.,7am - 5 pm,No,Si,Si,No,Si,No,Si,No,No,No,No,
HSEQ SALUD EMPRESARIAL SAS,Bogotá,CLL 37 N. 17 A 03,2457034,hseq@hseqsalud.com,Somos una IPS en salud ocupacional,Lunes a Viernes 8:00 am a 4:00 pm y sabados 8:00 am a 11:00 am,Si,Si,Si,No,Si,No,Si,No,No,No,No,
Laboratorio Clínico Hospital Universitario San Ignacio,Bogotá,Cra 7 #40-62. Piso 2,5946161. Ext 2412,cccardozo@husi.org.co,"Laboratorio Clínico hospitalario Universitario de alto nivel de complejidad, ademas de las secciones básicas, se realizan exámenes diagnósticos de hematologia y coagulación especial, Microbiología especial, Micología, Errores Innatos del Metabolismo, Citometría de flujo, Biologia Molecular Infecciosas, hormonas, inmunología, Medición de Niveles de medicamentos y drogas de Abuso",24 horas del día 7 días a la semana,No,Si,Si,No,Si,No,Si,No,No,No,No,"Barbituricos, Opiaceos, Anfetaminas"
CARMENZA GOMEZ VARGAS,Armenia,CLL 4 N # 13 - 66,746 88 33,laboratorioclinicocargova@gmail.com,"Laboratorio Clinico Nivel 1.
",7:00 am a 12:00  m y de 2:00 pm a 6:00 pm Toma de muestras de 7:00 am a 11:00 am Y de 2:00 pm a 4:00 pm  Sábados de 8:00 am a 11:00 am,Si,Si,Si,No,Si,Si,Si,Si,No,No,Si,COCAINA
DINAMICA IPS,Cúcuta,Calle 6N N°11E-123,(097) 5892400 Ext. 305,zulmorji@dinamicaips.com.co,Laboratorio de tercer nivel de Dinámica es una organización especializada en servicios de ayudas diagnósticas entre los cuáles se encuentra panel de drogas para COCAÍNA-METANFETAMINA-BARBITÚRICOS-MARIHUANA-METANFETAMINA-METADONA-METILENEDIOXIMETANFETAMINA-MORFINA-BENZODIAZEPINAS-ANTIDEPRECIVOS TRICLÍCOS.,24 HORAS,Si,Si,Si,No,Si,Si,Si,No,No,No,No,
Laboratorio Clínico García Beltrán S.A.S,Cúcuta,Av. 1 # 15-43 Cons. 711 Edf. Jericó - Barrio La Playa,"(7) 5836555, 3118537104",gb.lab@hotmail.com,"Ofrecemos servicios de toma de muestras y procesamiento de exámenes de apoyo diagnóstico en diversas áreas del laboratorio clínico, con pruebas de rutina y especializadas de baja y mediana complejidad dirigidas al tratamiento médico adecuado de los usuarios con diversas patologías, así como la promoción y prevención de las mismas. 

",Lunes a Domingo (6:30am-6:30pm),Si,Si,Si,No,Si,Si,Si,No,No,No,Si,"Anfetaminas (AMP), Barbitúricos (BAR), Antidepresivos triciclicos (TCA), Fenciclidina (PCP), Metilenedioximetanfetamina (MDMA)"
Mercy Blandon Schiller,Bogotá,Calle 139 No. 99 B 36 Piso 2,6846297,mercyblandon@hotmail.com,Laboratorio  nivel I y donde se realiza toma de muestra para todo tipo de exámenes tanto de rutina como especializados.,7: 00 a.m. a 5: 00 p.m.,No,Si,No,No,Si,No,No,No,No,No,No,
Laboratorio Central de procesamientos CAFAM,Bogotá,Cra 16 Nº 52-35,3105111 ext. 5200,dlortiz@cafam.com.co,Laboratorio clinico de alta complejidad que procesa examenes de consulta externa para usuarios de Famisanar y nueva EPS,7:00 am a 5:00 pm,No,Si,No,No,Si,No,Si,No,No,No,No,
LABORATORIOS DEL VALLE,Pasto,CARRERA31CNo19-19 LAS CUADRAS,7310460,labovalle@gmail.com,Realizamos pruebas cualitativas para cocaina y canabinoides,7:00 am a 6:00 pm en jornada continua sin interrupcion en el horario,No,Si,No,No,Si,No,No,No,No,No,No,
Laboratorio clínico Mariana Caicedo Cubillos SAS,Bogotá,Cra 62 # 12 - 58 int 1,2601437,mcaicedoc@gmail.com,"El laboratorio presta sus servicios, para una IPS de Salud Ocupacional, razón por la cual se solicitan pruebas CUALITATIVAS para detección de drogas de abuso en panel de tres, cinco o diez sustancias.",7 a 5pm,No,Si,Si,No,Si,Si,Si,No,No,No,No,antidepresivos triciclicos TCA
Laboratorio clinico ELIZABETH ARTEAGA,Sogamoso,CRA. 9 No. 16-05,7739106,elizarteaga@hotmail.com,,7-5 p.m.,Si,Si,Si,No,Si,Si,Si,Si,No,No,No,anfetaminas
Jireh,Giron,Cra 26 n° 20 C -  08 Portal Campestre 5,6593872,jireh-laboratorioclinico@hotmail.com,"Laboratorio Clinico de Primer nivel, realizo cocaína y canabinoides en prueba cualitativa en orina.",7:00 am a 1 pm,No,Si,No,No,Si,No,No,No,No,No,No,
LABTRON,Bogotá,CALLE 4 B 41 25,"2772670,3713761",ldeaza@gmail.com,Laboratorio clínico especializado,7:00 A.M. - 5:00 P.M.,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,
